Datetime,Tweet Id,Text,Username,Type,Slow,Accident,Closure,Lane Reduction,Ramp,Stunt Driving
2021-12-06 16:04:17+00:00,1467887627768582145,"Keep your eyes open for this new @MaddOttawa campaign 
@ctvottawa @CBCOttawa @global_ottawa @OttawaPolice https://t.co/JAn9Pxdh4R",OPSTrafficCM,,,,,,,
2021-12-03 17:39:09+00:00,1466824338041102342,"En novembre, 60 conducteurs ont été accusés d'infractions liées à la conduite avec facultés affaiblies.
Alors que nous débutons le mois de décembre, qui est généralement festif, nous vous demandons de participer à la sécurité de nos routes en #ConduisantSobre #SécuritéRoutière",OPSTrafficCM,,,,,,,
2021-12-03 17:39:08+00:00,1466824335969198087,"November saw 60 drivers charged with impaired driving related offences.
As the festive month of December is upon us, we are asking you to be part of keeping our roads safe by #DrivingSober #RoadSafety
@MaddOttawa @OttawaPolice https://t.co/hTdNeuDIKE",OPSTrafficCM,,,,,,,
2021-11-29 19:12:41+00:00,1465398328485683206,"La FDS dernière a vu 11 conducteurs accusés de conduite avec les facultés affaiblies.
4 parmis eux n'avaient que leur G1/G2.

Faites de la planification d'un retour à la maison sûr et sobre une partie de votre routine chaque fois que vous buvez ou consommez du cannabis.",OPSTrafficCM,,,,,,,
2021-11-29 19:12:41+00:00,1465398325033811981,"This past weekend 11 drivers were charged with Impaired Driving related offences.
4 of those drivers were G1/G2 drivers.

Make planning a safe and sober way home part of you routine every time you drink or consume cannabis.
@OttawaPolice @MaddOttawa 
#roadsafety #DriveSober https://t.co/OHIIUTCj3Q",OPSTrafficCM,,,,,,,
2021-11-23 14:09:34+00:00,1463147719049027593,"8 personnes furent accusées en lien avec la conduite avec les facultées affaiblies en FDS.
1 de ces conducteurs avait une interdiction de conduire suite à une condamnation, en janvier 2021, pour conduite avec les facultés affaiblies. 
Faites votre part #ConduisezSobre.",OPSTrafficCM,,,,,,,
2021-11-23 14:09:34+00:00,1463147717908172800,"8 people were charged with impaired driving related offence this past weekend.
1 of the drivers charged was prohibited from driving due to an impaired conviction in January 2021.
Please do your part #DriveSober #StopImpairedDriving
@OttawaPolice @MaddOttawa",OPSTrafficCM,,,,,,,
2021-11-22 14:29:13+00:00,1462790276779593738,"Nous parlons des tendences en ce qui concerne la conduite avec les facultés affaiblies à Ottawa et dans la province, sur nos routes, nos sentiers et sur l'eau. https://t.co/V9PZMkgBM8",OPSTrafficCM,,,,,,,
2021-11-22 14:18:19+00:00,1462787533478244356,"Speaking @_ArriveAlive about impaired driving trends in Ottawa, on our roads, trails and waterways.
Learning about impaired driving trends in Ontario.
@OttawaPolice @OPSEastTraffic https://t.co/sj1ewYXrbg",OPSTrafficCM,,,,,,,
2021-11-19 13:40:38+00:00,1461690886270722051,"Proposez des alternatives pour que votre proche puisse continuer ses sorties hebdomadaires, telles que :
Devenir à l'aise avec les lignes de bus
Examinez les options de covoiturage
Enrôler un ami de la famille ou un jeune adulte pour faire des courses",OPSTrafficCM,,,,,,,
2021-11-19 13:40:38+00:00,1461690884605550592,"Avez-vous une personne plus âgée de votre famille dont le permis a été suspendu?
Voici quelques conseils:
* Parlez-en - soulignez qu'il ne s'agit pas que d'eux
* Soyez sévère - ce n'est pas une négociation
* Soyez prêt à aider à faire des courses 
#SécuritéRoutière https://t.co/IP1irGnSKk",OPSTrafficCM,,,,,,,
2021-11-19 13:34:10+00:00,1461689258499051531,"Provide alternatives so your loved one can continue their weekly outings, such as:
Learning the bus routes
Look into ride share options
Enlist a family friend or young adult to run errands
You can read more https://t.co/iFn2uYY5qu and https://t.co/ZZqlVRwcrJ",OPSTrafficCM,,,,,,,
2021-11-19 13:34:10+00:00,1461689257035247632,"Do you have an elderly family member whose licence has been suspended?
Hopefully these tips can help:
* Talk about it- emphasize it's not just about them
* Be stern- it's not a negotiation
* Be prepared to assist in running errands and giving rides.
@OttawaPolice #RoadSafety",OPSTrafficCM,,,,,,,
2021-11-16 14:05:03+00:00,1460609865127272449,"Le conducteur avait un contenant d'alcool ouvert dans le véhicule.
Il a fourni un échantillon dans un appareil pour détecter l’alcool avec un résultat ""Alerte""  .
Plusieurs accusations ont été portées et le véhicule a été saisi pendant 45 jours.
#SécuritéRoutière",OPSTrafficCM,,,,,,,
2021-11-16 14:05:02+00:00,1460609863650791425,"Le conducteur d'un 🚘 intercepté pour excès de vitesse, sur Blackburn Hamlet Bypass plus tôt ce mois-ci, avait une interdiction de conduire en raison d'une condamnation pour conduite avec facultés affaiblies.
Il était également suspendu à l'échelle provinciale depuis 2003. https://t.co/ZMLFxacCSr",OPSTrafficCM,,,,,,,
2021-11-16 13:49:34+00:00,1460605968870518788,"The driver had open alcohol in the vehicle.
He provided a sample into a roadside with a warn range result.
Multiple charges were laid and the vehicle was seized for 45 days.
#RoadSafety @MaddOttawa @OttawaPolice",OPSTrafficCM,,,,,,,
2021-11-16 13:49:34+00:00,1460605967616385027,"The driver of a 🚘 stopped for speeding, on Blackburn Hamlet Bypass earlier this month, was prohibited from driving due to a previous impaired driving conviction.
He was also suspended provincially, since 2003, due to other infractions.",OPSTrafficCM,,,,,,,
2021-11-06 12:42:59+00:00,1456965335853240322,"5 conducteurs ont fini leur vendredi soir ici ⬆️ suites à des accusations de facultés affaiblies durant la nuit de vendredi à samedi.
Permis suspendus pour 90jrs, 🚘 saisis pour 7 jrs et ils font faces à des accusations criminelles.
SVP #ConduisezSobre",OPSTrafficCM,,,,,,,
2021-11-06 12:42:59+00:00,1456965334179713029,"Overnight, 5 drivers ended their evening with a visit ⬇️ after they were arrested in relation to impaired driving.
Their vehicles were seized for 7 days, licences suspended for 90 days and are facing criminal charges.
Please #drivesober 
@OttawaPolice @MaddOttawa https://t.co/O2gZjYxjT9",OPSTrafficCM,,,,,,,
2021-11-04 14:26:20+00:00,1456266568753561621,"Ce matin sur la rue Bank, un 🚘 fut intercepté roulant à 141km dans une zone de construction où la limite est de 80km/hrs + ouvriers présents 
#manœuvrespérilleuses permis suspendu pour 30 jrs et 🚘 saisi pour 14. 
Faites votre part pour la #SécuritéRoutière et
#ralentissez",OPSTrafficCM,,,,,,,
2021-11-04 14:26:20+00:00,1456266565683343369,"Just before 8am this morning, on Bank Street, a vehicle was stopped going 141km in an 80km/h construction zone with workers present.
#stuntdriving license suspended for 30 days and vehicle seized for 14. Be part of the #roadsafety solution #slowdown 
@OttawaPolice https://t.co/hlcdEOvaKL",OPSTrafficCM,,Slow,,,,,
2021-11-02 23:16:57+00:00,1455675326885937153,"6 conducteurs font faces à des accusations de conduite avec les facultés affaiblies et ce seulement dans les derniers 36hrs. Le taux d'alcolémie était en moyenne 3x la limite légale.
Choisissez de #conduiresobre
#SécuritéRoutière #ottnouvelles https://t.co/VxDd1CmSpo",OPSTrafficCM,,,,,,,
